DEPTH,GR7-3,GR7-8,GRA-53
1238.95,28.14,,
1239.45,27.08,,
1239.95,30.45,,
1240.45,30.64,,
1240.95,31.72,,
1241.45,29.72,,
1241.95,30.03,,
1242.45,31.13,,
1242.95,29.69,,
1243.44,27.38,,
1243.94,24.56,,
1244.44,26.41,,
1244.94,26.75,,
1245.44,29.11,,
1245.94,28.17,,
1246.44,29.58,,
1246.94,28.64,,
1247.44,29.20,,
1247.94,27.16,,
1248.44,27.13,,
1248.94,25.66,,
1249.44,25.39,,
1249.94,22.61,,
1250.44,21.53,,
1250.94,22.73,,
1251.44,25.91,,
1251.94,25.88,,
1252.44,25.75,,
1252.94,25.94,,
1253.44,27.33,,
1253.94,26.53,,
1254.44,27.13,,
1254.94,27.06,,
1255.44,29.86,,
1255.94,27.30,,
1256.44,28.84,,
1256.94,26.67,,
1257.44,26.95,,
1257.94,26.97,,
1258.44,27.78,,
1258.94,28.64,,
1259.44,26.36,,
1259.94,24.94,,
1260.44,24.06,,
1260.94,26.34,,
1261.44,29.66,,
1261.94,30.89,,
1262.44,29.75,,
1262.94,25.89,,
1263.44,23.80,,
1263.94,23.44,,
1264.44,25.11,,
1264.94,28.52,,
1265.44,31.36,,
1265.94,29.95,,
1266.44,30.81,,
1266.94,27.72,,
1267.44,29.77,,
1267.94,28.94,,
1268.44,31.86,,
1268.94,31.84,,
1269.44,30.14,,
1269.94,28.36,,
1270.44,26.84,,
1270.94,29.13,,
1271.44,28.81,,
1271.94,29.44,,
1272.44,27.73,,
1272.94,26.09,,
1273.44,24.47,,
1273.94,26.59,,
1274.44,28.59,,
1274.94,30.20,,
1275.44,27.83,,
1275.94,26.36,,
1276.44,25.25,,
1276.94,25.48,,
1277.44,27.41,,
1277.94,27.61,,
1278.44,27.02,,
1278.94,25.38,,
1279.44,26.63,,
1279.94,26.67,,
1280.44,27.80,,
1280.94,26.63,,
1281.44,26.58,,
1281.94,26.33,,
1282.44,28.92,,
1282.94,30.63,,
1283.44,33.13,,
1283.94,30.23,,
1284.44,31.81,,
1284.94,29.89,,
1285.44,30.22,,
1285.94,26.42,,
1286.44,25.53,,
1286.94,28.05,,
